FEATURE;ASSIS CHATEAUBRIAND;ASTORGA;BARRACÃO;CAMPO LARGO;CAPANEMA;CASCAVEL;CORONEL VIVIDA;CURITIBA;FOZ DO IGUAÇU;GOIOERÊ;IRATI;IVAIPORÃ;JACAREZINHO;JAGUARIAÍVA;LONDRINA - CENTRO;PALMAS;PARANAGUÁ;PARANAVAÍ;PINHAIS;PITANGA;QUEDAS DO IGUAÇU;TELÊMACO BORBA;UMUARAMA;UNIÃO DA VITÓRIA;MÉDIA;TODOS;MÉDIA FINAL
TEMP_MAX_MIN_MENS;0.000658934335204;0.002505795979509;0.000670789671836;0.000835994323443;0.001432417665178;0.000871081900482;0.000886060137446;0.00081955509574;0.00070290143273;0.00398981932269;0.000866463505043;0.000798439429047;0.003645075715062;0.00034826570812;0.002085310281055;0.001519786338338;0.000453576374822;0.000784568613688;0.001420960243703;0.00030977427488;0.000794637710938;0.001891350223261;0.004083794043953;0.0015072081757;0.0014117733542445;0.000774029286572;0.00109290132040825
TEMP_MAX_MAX_MENS;0.000684858950258;0.000877093451283;0.001035933068112;0.000581450121859;0.000918483666458;0.000445262176971;0.000624868833114;0.001209265686895;0.000810948711387;0.004150028385745;0.000752583876375;0.000443865014648;0.004413266385649;0.000586918331336;0.001340510223537;0.000637648388321;0.000639829134436;0.000827993862618;0.000509476695309;0.000845215611055;0.000687578188436;0.003027647913638;0.003652738188211;0.001074754605063;0.0012824258112797502;0.000887405060036;0.001084915435657875
PRECIPITAÇÃO_MÉD_MENS;0.000569984828902;0.000762437396934;0.001017000194726;0.000553935718926;0.000827371121296;0.001706200156084;0.001996550487482;0.003644463622189;0.000404081512305;0.000600320424918;0.000461456990862;0.002106343764468;0.002474094202786;0.000648999667808;0.000842761709968;0.000916466773986;0.001204885563664;0.000747395725875;0.001164918762276;0.002345835111814;0.002607634162865;0.000927831738271;0.000922228811965;0.000874729117804;0.0012636636486739168;0.000553455885412;0.0009085597670429584
FERIADO;0.000339873265034;0.000616446170647;0.00101332931893;0.000756392072743;0.003320796831489;0.000362187131799;0.002857246110237;0.00071222073759;0.002301150858908;0.000568931915296;0.000846037663843;0.001368097565589;0.000764967106682;0.000754047002673;0.001294232003812;0.00124089323833;0.001739997747887;0.001241361455579;0.00041376213351;0.00239392821965;0.000729476928736;0.000721636689597;0.000456813018858;0.000730391308891;0.00114767568734625;0.002005318936584;0.0015764973119651248
GREVE;0.000129870963262;0.000133062126945;0.001822761618423;0.006444386659346;0.002126179744;0.003148772285121;1.8991807594e-05;0.000725652212224;5.7387292254e-05;0.000132024496563;0.001453031037019;3.6768199553e-05;0.000125204368698;0.000650688158793;0.000122705375913;1.6322159312e-05;9.1857376804e-05;2.614854085e-05;8.6632210964e-05;0.001145936417036;0.000294515384577;0.000681427578015;0.000222828056169;0.001540473874292;0.0008847344976552915;0.003952006803577;0.002418370650616146
ANO_2021;0.000140637688616;0.000229255086423;0.003727944832558;0.000893067878863;0.000140749575594;0.000212844830442;0.001955454741174;0.001127837077325;5.2382918883e-05;2.1391378683e-05;0.000472476184564;0.000102078800636;0.003141731539702;6.868610543e-05;0.000170231990408;0.000110661024849;3.0853759766e-05;0.000186971935676;0.006495538863678;0.000996639187063;4.0575921835e-05;1.8415772649e-05;4.9599521555e-05;0.000149941486261;0.0008556653376097086;0.000137548467901;0.0004966069027553543
ANO_2023;0.000601945922391;0.000244393591422;0.00053486461224;0.000398750449759;8.8286119179e-05;8.1172688433e-05;0.00010760286359;0.000661431150746;0.001394540125858;0.001708424022688;0.003735253831307;0.000451404100131;0.000724789077846;0.001980286055253;0.000376686023344;0.000738792354905;0.001254788383908;0.001931521375173;0.000288113945689;0.000117529129757;0.000265270746997;0.000408611130322;0.000597176192416;0.000673962546193;0.0008068998516477916;0.000826443057362;0.0008166714545048958
DIA_DA_SEMANA_dom;0.000621673543915;0.000708058046798;0.000590725721097;0.001151141587452;0.000897137698512;0.000331668233707;0.003101858017359;0.000557160138995;9.976126577e-05;0.000487072436333;0.000215236868196;0.002194469258206;0.000401631235818;0.001652774807802;0.00049306184176;0.000605132676829;0.00072351289113;0.00073428869193;0.000549842455533;0.00121889509302;0.000283461401347;0.000448481211217;0.000252008336346;0.000380569107623;0.0007791509402789585;0.003600887405133;0.0021900191727059794
DIA_DA_SEMANA_qui;0.001293247179339;0.000298943044461;0.000151366617953;0.00207741437908;0.003084405988272;0.000931512219285;0.001874673355476;0.000639064253908;0.000294265362896;0.000561602337047;0.00028120739015;9.4693898496e-05;0.000262929935968;0.000417132457977;0.001291804148724;0.000594542357575;0.000577814453967;0.000244034147927;0.001151736436331;0.001116579484126;0.000398137487582;0.000187079313645;0.00044084234692;0.000428773660715;0.0007789084274091666;0.001431910275526;0.0011054093514675832
DIA_DA_SEMANA_seg;0.000856814238113;0.000131912448939;0.000303849199142;0.000203436227032;0.005364381424992;0.000183912722181;0.00067215526683;0.000263022910645;0.000421890170499;0.000363322340559;0.00015029449517;0.000361088802645;0.000114568183619;0.00012570071827;0.000525094619729;0.000670879836514;0.00137017786859;0.000351507612517;0.00154900300345;0.001151629709374;0.000501236008499;0.000633303442972;0.000576776764417;0.000568344358033;0.0007255959321971249;0.000885621359501;0.0008056086458490625
ANO_2019;0.001181492097947;0.000171754641453;3.800546399e-05;0.000848809185606;0.000460410252659;0.000146272798318;0.000516508001271;0.001019745007559;0.000526234975082;0.000813830445145;0.001315618389743;0.000375054358748;0.000439944300971;0.000318370519576;0.000500937777972;0.003602585479625;0.000120153555213;0.000206850011342;0.000516989356618;0.000392546029447;0.003304421444193;0.000229858142359;7.5044145388e-05;0.000166142157945;0.0007203157724237499;0.000118936023902;0.00041962589816287493
ANO_2022;0.001008114712555;0.000247999310567;9.512810604e-05;0.000116459921347;0.000270678846583;0.000107574483338;0.001721574557219;0.00020021716624;0.000411554300751;0.001277659153765;0.000103667057496;0.000172367798696;0.000246066861028;3.991932539e-05;0.000102460419643;0.00058495713662;0.000232583637367;0.001238303742972;0.007049996383478;0.000524361931216;0.000134927529483;0.000227608101601;0.000619305518625;0.000152995926807;0.000703603413701125;0.00028141736144;0.0004925103875705625
MÊS_jan;0.000990349190956;0.000129282093505;0.000446843544809;0.002255964169098;0.000197847656517;0.000337156857164;0.000197480161752;0.00031577971641;4.9681090124e-05;0.000561776694447;0.000632948219316;0.000897776387776;6.5218123585e-05;0.000295428405475;1.7722100945e-05;0.001354682693511;4.5767778571e-05;0.002592518294147;0.000107509292595;0.000388375173291;0.000687011794777;0.000201483591259;0.001809978466142;0.000837337009061;0.0006423299377180419;0.000421725466576;0.0005320277021470209
DIA_DA_SEMANA_sex;0.000132027762137;0.000808866651973;0.000298362191792;0.001247502561257;0.000233097247258;0.000279610851963;0.00087084131963;0.000238103879425;0.0032597674709;0.000446987079443;0.000280320788564;0.000815569655627;0.000376359403249;0.000281119288284;0.00057039484455;0.00070027089196;0.000251088632983;0.001001041150841;0.000566176443445;0.000733400669028;0.000376885203696;0.00084405107566;0.000242177752674;0.000261649428333;0.0006298196768613331;0.000525503657363;0.0005776616671121667
