;OTIMIZADOR;MODELO;CLASSES;SEED;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
409;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
410;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
411;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
412;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
413;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
414;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
415;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
416;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
417;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
418;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
419;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
420;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
421;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
422;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
423;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
424;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
425;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
426;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
427;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
428;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
429;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
430;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
431;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
432;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
433;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
434;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
435;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
436;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
437;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
438;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
439;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
440;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
441;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
442;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
443;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
444;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
445;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
446;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
447;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
448;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
449;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
