CAMPUS;Nome do Curso;Grau;Modalidade;Situação do Curso;Qt. Vagas Autorizadas;Integralização - Turno Integral (ANOS);Quantitativo de Vagas - Integral;Integralização - Turno Matutino (ANOS);Quantitativo de Vagas - Matutino;Integralização - Turno Vespertino (ANOS);Quantitativo de Vagas - Vespertino;Integralização - Turno Noturno (ANOS);Quantitativo de Vagas - Noturno;Início Funcionamento;Fim Funcionamento
PINHAIS;ESPECIALIZAÇÃO LATO SENSU EM ESTUDOS DA LINGUAGEM;Especialização;Educação Presencial;Em atividade;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2021;
JAGUARIAÍVA;ESPECIALIZAÇÃO LATO SENSU EM EDUCAÇÃO E TECNOLOGIA;Especialização;Educação Presencial;Em atividade;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2018;
PARANAGUÁ;ESPECIALIZAÇÃO LATO SENSU EM GESTÃO AMBIENTAL;Especialização;Educação Presencial;Em atividade;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2011;
PALMAS;ESPECIALIZAÇÃO LATO SENSU EM LINGUAGENS HÍBRIDAS E EDUCAÇÃO;Especialização;Educação Presencial;Em atividade;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2018;
PALMAS;ESPECIALIZAÇÃO LATO SENSU EM CONTROLADORIA E GESTÃO EMPRESARIAL;Especialização;Educação Presencial;Em atividade;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2023;
PARANAVAÍ;ESPECIALIZAÇÃO LATO SENSU EM GESTÃO DA QUALIDADE E TECNOLOGIA DE ALIMENTOS;Especialização;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2019;
PARANAVAÍ;ESPECIALIZAÇÃO LATO SENSU EM DESENVOLVIMENTO DE SISTEMAS PARA WEB, MÓVEIS E EMBARCADOS;Especialização;Educação Presencial;Em atividade;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/07/2017;
PARANAVAÍ;ESPECIALIZAÇÃO LATO SENSU EM MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL;Especialização;Educação Presencial;Em atividade;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2018;
CURITIBA;ESPECIALIZAÇÃO LATO SENSU EM DESIGN EDUCACIONAL: FORMAÇÃO DOCENTE PARA A CONSTRUÇÃO DE MATERIAIS DIDÁTICOS DIGITAIS;Especialização;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2024;
CURITIBA;ESPECIALIZAÇÃO LATO SENSU EM EDUCAÇÃO MUSICAL PARA EDUCAÇÃO BÁSICA;Especialização;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2018;
CURITIBA;ESPECIALIZAÇÃO LATO SENSU EM GESTÃO SOCIAL DE POLÍTICAS PÚBLICAS;Especialização;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2019;
CURITIBA;ESPECIALIZAÇÃO LATO SENSU EM CIÊNCIAS DA NATUREZA: ENSINO DE FÍSICA E ASTRONOMIA;Especialização;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2021;
CURITIBA;ESPECIALIZAÇÃO LATO SENSU EM EDUCAÇÃO PROFISSIONAL TÉCNICA DE NÍVEL MÉDIO;Especialização;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2014;
CURITIBA;ESPECIALIZAÇÃO LATO SENSU EM GESTÃO PÚBLICA;Especialização;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2018;
CURITIBA;ESPECIALIZAÇÃO LATO SENSU EM GESTÃO EMPRESARIAL, CONTÁBIL E TRIBUTÁRIA;Especialização;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/07/2017;
CURITIBA;ESPECIALIZAÇÃO LATO EM SENSU EM GESTÃO E NEGÓCIOS;Especialização;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/07/2017;
QUEDAS DO IGUAÇU;ESPECIALIZAÇÃO LATO SENSU EM EDUCAÇÃO E PRÁTICAS DE ENSINO PARA OS ANOS INICIAIS DO ENSINO FUNDAMENTAL;Especialização;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2020;
FOZ DO IGUAÇU;ESPECIALIZAÇÃO LATO SENSU EM ENSINO DE CIÊNCIAS E MATEMÁTICA;Especialização;Educação Presencial;Em atividade;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2025;
FOZ DO IGUAÇU;ESPECIALIZAÇÃO LATO SENSU EM INTERNET DAS COISAS IOT;Especialização;Educação Presencial;Em atividade;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2020;
JACAREZINHO;ESPECIALIZAÇÃO LATO SENSU EM EDUCAÇÃO, SOCIEDADE E TECNOLOGIA;Especialização;Educação Presencial;Em atividade;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2021;
PALMAS;AMBIENTES SAUDÁVEIS E SUSTENTÁVEIS;Mestrado;Educação Presencial;Em atividade;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16/02/2024;
PARANAGUÁ;CIÊNCIA, TECNOLOGIA E SOCIEDADE;Mestrado;Educação Presencial;Em atividade;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/08/2017;
LONDRINA - NORTE;ESPECIALIZAÇÃO LATO SENSU EM PRÁTICAS INTERDISCIPLINARES PARA O ENSINO DE CIÊNCIAS;Especialização;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28/07/2022;
