DATA;CAMPUS;CONSUMO
2023-11-13;ARAPONGAS;4.625
2023-11-14;ARAPONGAS;4.625
2023-11-15;ARAPONGAS;4.625
2023-11-16;ARAPONGAS;4.625
2023-11-17;ARAPONGAS;4.625
2023-11-18;ARAPONGAS;4.625
2023-11-19;ARAPONGAS;4.625
2023-11-20;ARAPONGAS;4.625
2023-11-21;ARAPONGAS;4.625
2023-11-22;ARAPONGAS;4.625
2023-11-23;ARAPONGAS;4.625
2023-11-24;ARAPONGAS;4.625
2023-11-25;ARAPONGAS;4.625
2023-11-26;ARAPONGAS;4.625
2023-11-27;ARAPONGAS;4.625
2023-11-28;ARAPONGAS;4.625
2023-11-29;ARAPONGAS;4.625
2023-11-30;ARAPONGAS;4.625
2023-12-01;ARAPONGAS;4.625
2023-12-02;ARAPONGAS;4.625
2023-12-03;ARAPONGAS;4.625
2023-12-04;ARAPONGAS;4.625
2023-12-05;ARAPONGAS;4.625
2023-12-06;ARAPONGAS;4.625
2023-12-07;ARAPONGAS;4.625
2023-12-08;ARAPONGAS;4.625
2023-12-09;ARAPONGAS;4.625
2023-12-10;ARAPONGAS;4.625
2023-12-11;ARAPONGAS;4.625
2023-12-12;ARAPONGAS;4.625
2023-12-13;ARAPONGAS;3.966666666666667
2023-12-14;ARAPONGAS;3.966666666666667
2023-12-15;ARAPONGAS;3.966666666666667
2023-12-16;ARAPONGAS;3.966666666666667
2023-12-17;ARAPONGAS;3.966666666666667
2023-12-18;ARAPONGAS;3.966666666666667
2023-12-19;ARAPONGAS;3.966666666666667
2023-12-20;ARAPONGAS;3.966666666666667
2023-12-21;ARAPONGAS;3.966666666666667
2023-12-22;ARAPONGAS;3.966666666666667
2023-12-23;ARAPONGAS;3.966666666666667
2023-12-24;ARAPONGAS;3.966666666666667
2023-12-25;ARAPONGAS;3.966666666666667
2023-12-26;ARAPONGAS;3.966666666666667
2023-12-27;ARAPONGAS;3.966666666666667
2023-12-28;ARAPONGAS;3.966666666666667
2023-12-29;ARAPONGAS;3.966666666666667
2023-12-30;ARAPONGAS;3.966666666666667
2023-12-31;ARAPONGAS;3.966666666666667
2024-01-01;ARAPONGAS;3.966666666666667
2024-01-02;ARAPONGAS;3.966666666666667
2024-01-03;ARAPONGAS;3.966666666666667
2024-01-04;ARAPONGAS;3.966666666666667
2024-01-05;ARAPONGAS;3.966666666666667
2024-01-06;ARAPONGAS;3.966666666666667
2024-01-07;ARAPONGAS;3.966666666666667
2024-01-08;ARAPONGAS;3.966666666666667
2024-01-09;ARAPONGAS;3.966666666666667
2024-01-10;ARAPONGAS;3.966666666666667
2024-01-11;ARAPONGAS;3.966666666666667
2024-01-12;ARAPONGAS;3.4827586206896552
2024-01-13;ARAPONGAS;3.4827586206896552
2024-01-14;ARAPONGAS;3.4827586206896552
2024-01-15;ARAPONGAS;3.4827586206896552
2024-01-16;ARAPONGAS;3.4827586206896552
2024-01-17;ARAPONGAS;3.4827586206896552
2024-01-18;ARAPONGAS;3.4827586206896552
2024-01-19;ARAPONGAS;3.4827586206896552
2024-01-20;ARAPONGAS;3.4827586206896552
2024-01-21;ARAPONGAS;3.4827586206896552
2024-01-22;ARAPONGAS;3.4827586206896552
2024-01-23;ARAPONGAS;3.4827586206896552
2024-01-24;ARAPONGAS;3.4827586206896552
2024-01-25;ARAPONGAS;3.4827586206896552
2024-01-26;ARAPONGAS;3.4827586206896552
2024-01-27;ARAPONGAS;3.4827586206896552
2024-01-28;ARAPONGAS;3.4827586206896552
2024-01-29;ARAPONGAS;3.4827586206896552
2024-01-30;ARAPONGAS;3.4827586206896552
2024-01-31;ARAPONGAS;3.4827586206896552
2024-02-01;ARAPONGAS;3.4827586206896552
2024-02-02;ARAPONGAS;3.4827586206896552
2024-02-03;ARAPONGAS;3.4827586206896552
2024-02-04;ARAPONGAS;3.4827586206896552
2024-02-05;ARAPONGAS;3.4827586206896552
2024-02-06;ARAPONGAS;3.4827586206896552
2024-02-07;ARAPONGAS;3.4827586206896552
2024-02-08;ARAPONGAS;3.4827586206896552
2024-02-09;ARAPONGAS;3.4827586206896552
2024-02-10;ARAPONGAS;3.75
2024-02-11;ARAPONGAS;3.75
2024-02-12;ARAPONGAS;3.75
2024-02-13;ARAPONGAS;3.75
2024-02-14;ARAPONGAS;3.75
2024-02-15;ARAPONGAS;3.75
2024-02-16;ARAPONGAS;3.75
2024-02-17;ARAPONGAS;3.75
2024-02-18;ARAPONGAS;3.75
2024-02-19;ARAPONGAS;3.75
2024-02-20;ARAPONGAS;3.75
2024-02-21;ARAPONGAS;3.75
2024-02-22;ARAPONGAS;3.75
2024-02-23;ARAPONGAS;3.75
2024-02-24;ARAPONGAS;3.75
2024-02-25;ARAPONGAS;3.75
2024-02-26;ARAPONGAS;3.75
2024-02-27;ARAPONGAS;3.75
2024-02-28;ARAPONGAS;3.75
2024-02-29;ARAPONGAS;3.75
2024-03-01;ARAPONGAS;3.75
2024-03-02;ARAPONGAS;3.75
2024-03-03;ARAPONGAS;3.75
2024-03-04;ARAPONGAS;3.75
2024-03-05;ARAPONGAS;3.75
2024-03-06;ARAPONGAS;3.75
2024-03-07;ARAPONGAS;3.75
2024-03-08;ARAPONGAS;3.75
2024-03-09;ARAPONGAS;3.75
2024-03-10;ARAPONGAS;3.75
2024-03-11;ARAPONGAS;3.75
2024-03-12;ARAPONGAS;3.75
2024-03-13;ARAPONGAS;3.6206896551724137
2024-03-14;ARAPONGAS;3.6206896551724137
2024-03-15;ARAPONGAS;3.6206896551724137
2024-03-16;ARAPONGAS;3.6206896551724137
2024-03-17;ARAPONGAS;3.6206896551724137
2024-03-18;ARAPONGAS;3.6206896551724137
2024-03-19;ARAPONGAS;3.6206896551724137
2024-03-20;ARAPONGAS;3.6206896551724137
2024-03-21;ARAPONGAS;3.6206896551724137
2024-03-22;ARAPONGAS;3.6206896551724137
2024-03-23;ARAPONGAS;3.6206896551724137
2024-03-24;ARAPONGAS;3.6206896551724137
2024-03-25;ARAPONGAS;3.6206896551724137
2024-03-26;ARAPONGAS;3.6206896551724137
2024-03-27;ARAPONGAS;3.6206896551724137
2024-03-28;ARAPONGAS;3.6206896551724137
2024-03-29;ARAPONGAS;3.6206896551724137
