DATA;CAMPUS;CURSOS_GRAD_MATUTINO;CURSOS_GRAD_VESPERTINO;CURSOS_GRAD_NOTURNO;CURSOS_POS
2024-09-22;CORONEL VIVIDA;0;0;1;0
2024-09-23;CORONEL VIVIDA;0;0;1;0
2024-09-24;CORONEL VIVIDA;0;0;1;0
2024-09-25;CORONEL VIVIDA;0;0;1;0
2024-09-26;CORONEL VIVIDA;0;0;1;0
2024-09-27;CORONEL VIVIDA;0;0;1;0
2024-09-28;CORONEL VIVIDA;0;0;1;0
2024-09-29;CORONEL VIVIDA;0;0;1;0
2024-09-30;CORONEL VIVIDA;0;0;1;0
2024-10-01;CORONEL VIVIDA;0;0;1;0
2024-10-02;CORONEL VIVIDA;0;0;1;0
2024-10-03;CORONEL VIVIDA;0;0;1;0
2024-10-04;CORONEL VIVIDA;0;0;1;0
2024-10-05;CORONEL VIVIDA;0;0;1;0
2024-10-06;CORONEL VIVIDA;0;0;1;0
2024-10-07;CORONEL VIVIDA;0;0;1;0
2024-10-08;CORONEL VIVIDA;0;0;1;0
2024-10-09;CORONEL VIVIDA;0;0;1;0
2024-10-10;CORONEL VIVIDA;0;0;1;0
2024-10-11;CORONEL VIVIDA;0;0;1;0
2024-10-12;CORONEL VIVIDA;0;0;1;0
2024-10-13;CORONEL VIVIDA;0;0;1;0
2024-10-14;CORONEL VIVIDA;0;0;1;0
2024-10-15;CORONEL VIVIDA;0;0;1;0
2024-10-16;CORONEL VIVIDA;0;0;1;0
2024-10-17;CORONEL VIVIDA;0;0;1;0
2024-10-18;CORONEL VIVIDA;0;0;1;0
2024-10-19;CORONEL VIVIDA;0;0;1;0
2024-10-20;CORONEL VIVIDA;0;0;1;0
2024-10-21;CORONEL VIVIDA;0;0;1;0
2024-10-22;CORONEL VIVIDA;0;0;1;0
2024-10-23;CORONEL VIVIDA;0;0;1;0
2024-10-24;CORONEL VIVIDA;0;0;1;0
2024-10-25;CORONEL VIVIDA;0;0;1;0
2024-10-26;CORONEL VIVIDA;0;0;1;0
2024-10-27;CORONEL VIVIDA;0;0;1;0
2024-10-28;CORONEL VIVIDA;0;0;1;0
2024-10-29;CORONEL VIVIDA;0;0;1;0
2024-10-30;CORONEL VIVIDA;0;0;1;0
2024-10-31;CORONEL VIVIDA;0;0;1;0
