;Units;Epochs;Batch Size;Activation;Fitness
150;13;264;175;linear;-0.2166666666666667
151;13;264;175;linear;-0.2166666666666667
152;13;264;175;linear;-0.2166666666666667
153;13;264;175;linear;-0.2166666666666667
154;13;264;175;linear;-0.2166666666666667
155;13;264;175;linear;-0.2166666666666667
156;13;264;175;linear;-0.2166666666666667
157;13;264;175;linear;-0.2166666666666667
158;13;264;175;linear;-0.2166666666666667
159;13;264;175;linear;-0.2166666666666667
160;13;264;175;linear;-0.2166666666666667
161;13;264;175;linear;-0.2166666666666667
162;13;264;175;linear;-0.2166666666666667
163;13;264;175;linear;-0.2166666666666667
164;13;264;175;linear;-0.2166666666666667
165;13;264;175;linear;-0.2166666666666667
166;13;264;175;linear;-0.2166666666666667
167;13;264;175;linear;-0.2166666666666667
168;13;264;175;linear;-0.2166666666666667
169;13;264;175;linear;-0.2166666666666667
170;13;264;175;linear;-0.2166666666666667
171;13;264;175;linear;-0.2166666666666667
172;13;264;175;linear;-0.2166666666666667
173;13;264;175;linear;-0.2166666666666667
174;13;264;175;linear;-0.2166666666666667
175;13;264;175;linear;-0.2166666666666667
176;13;264;175;linear;-0.2166666666666667
177;13;264;175;linear;-0.2166666666666667
178;13;264;175;linear;-0.2166666666666667
179;13;264;175;linear;-0.2166666666666667
180;13;264;175;linear;-0.2166666666666667
181;13;264;175;linear;-0.2166666666666667
182;13;264;175;linear;-0.2166666666666667
183;13;264;175;linear;-0.2166666666666667
184;13;264;175;linear;-0.2166666666666667
185;13;264;175;linear;-0.2166666666666667
186;13;264;175;linear;-0.2166666666666667
187;13;264;175;linear;-0.2166666666666667
188;13;264;175;linear;-0.2166666666666667
189;13;264;175;linear;-0.2166666666666667
190;13;264;175;linear;-0.2166666666666667
191;13;264;175;linear;-0.2166666666666667
192;13;264;175;linear;-0.2166666666666667
193;13;264;175;linear;-0.2166666666666667
194;13;264;175;linear;-0.2166666666666667
195;13;264;175;linear;-0.2166666666666667
196;13;264;175;linear;-0.2166666666666667
197;13;264;175;linear;-0.2166666666666667
198;13;264;175;linear;-0.2166666666666667
199;13;264;175;linear;-0.2166666666666667
200;13;264;175;linear;-0.2166666666666667
201;13;264;175;linear;-0.2166666666666667
202;13;264;175;linear;-0.2166666666666667
203;13;264;175;linear;-0.2166666666666667
204;13;264;175;linear;-0.2166666666666667
205;13;264;175;linear;-0.2166666666666667
206;13;264;175;linear;-0.2166666666666667
207;13;264;175;linear;-0.2166666666666667
208;13;264;175;linear;-0.2166666666666667
209;13;264;175;linear;-0.2166666666666667
210;13;264;175;linear;-0.2166666666666667
211;13;264;175;linear;-0.2166666666666667
212;13;264;175;linear;-0.2166666666666667
213;13;264;175;linear;-0.2166666666666667
214;13;264;175;linear;-0.2166666666666667
215;13;264;175;linear;-0.2166666666666667
216;13;264;175;linear;-0.2166666666666667
217;13;264;175;linear;-0.2166666666666667
218;13;264;175;linear;-0.2166666666666667
219;13;264;175;linear;-0.2166666666666667
220;13;264;175;linear;-0.2166666666666667
221;13;264;175;linear;-0.2166666666666667
222;13;264;175;linear;-0.2166666666666667
223;13;264;175;linear;-0.2166666666666667
224;13;264;175;linear;-0.2166666666666667
225;13;264;175;linear;-0.2166666666666667
