;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
181;21.0;320.0;3.0;2.0;-0.2416666666666667
182;21.0;320.0;3.0;2.0;-0.2416666666666667
183;21.0;320.0;3.0;2.0;-0.2416666666666667
184;21.0;320.0;3.0;2.0;-0.2416666666666667
185;21.0;320.0;3.0;2.0;-0.2416666666666667
186;21.0;320.0;3.0;2.0;-0.2416666666666667
187;21.0;320.0;3.0;2.0;-0.2416666666666667
188;21.0;320.0;3.0;2.0;-0.2416666666666667
189;21.0;320.0;3.0;2.0;-0.2416666666666667
190;21.0;320.0;3.0;2.0;-0.2416666666666667
191;21.0;320.0;3.0;2.0;-0.2416666666666667
192;21.0;320.0;3.0;2.0;-0.2416666666666667
193;21.0;320.0;3.0;2.0;-0.2416666666666667
194;21.0;320.0;3.0;2.0;-0.2416666666666667
195;21.0;320.0;3.0;2.0;-0.2416666666666667
196;21.0;320.0;3.0;2.0;-0.2416666666666667
197;21.0;320.0;3.0;2.0;-0.2416666666666667
198;21.0;320.0;3.0;2.0;-0.2416666666666667
199;21.0;320.0;3.0;2.0;-0.2416666666666667
200;21.0;320.0;3.0;2.0;-0.2416666666666667
201;21.0;320.0;3.0;2.0;-0.2416666666666667
202;21.0;320.0;3.0;2.0;-0.2416666666666667
203;21.0;320.0;3.0;2.0;-0.2416666666666667
204;21.0;320.0;3.0;2.0;-0.2416666666666667
205;21.0;320.0;3.0;2.0;-0.2416666666666667
206;21.0;320.0;3.0;2.0;-0.2416666666666667
207;21.0;320.0;3.0;2.0;-0.2416666666666667
208;21.0;320.0;3.0;2.0;-0.2416666666666667
209;21.0;320.0;3.0;2.0;-0.2416666666666667
210;21.0;320.0;3.0;2.0;-0.2416666666666667
211;21.0;320.0;3.0;2.0;-0.2416666666666667
212;21.0;320.0;3.0;2.0;-0.2416666666666667
213;21.0;320.0;3.0;2.0;-0.2416666666666667
214;21.0;320.0;3.0;2.0;-0.2416666666666667
215;21.0;320.0;3.0;2.0;-0.2416666666666667
216;21.0;320.0;3.0;2.0;-0.2416666666666667
217;21.0;320.0;3.0;2.0;-0.2416666666666667
218;21.0;320.0;3.0;2.0;-0.2416666666666667
219;21.0;320.0;3.0;2.0;-0.2416666666666667
220;21.0;320.0;3.0;2.0;-0.2416666666666667
221;21.0;320.0;3.0;2.0;-0.2416666666666667
222;21.0;320.0;3.0;2.0;-0.2416666666666667
223;21.0;320.0;3.0;2.0;-0.2416666666666667
224;21.0;320.0;3.0;2.0;-0.2416666666666667
225;21.0;320.0;3.0;2.0;-0.2416666666666667
